2minute	minute
fawk	fuck
isweaar	swear
spiderr	spider
francesco	francisco
bostonnn	boston
hanginn	hanging
sation	station
caner	cancer
scoll	scroll
biger	bigger
isaid	said
keepinq	keeping
testtt	test
fitess	fitness
halfways	halfway
fundation	foundation
discribed	described
screaminq	screaming
desirehd	desire
stoneee	stone
muhfuckers	fuckers
screaminn	screaming
antoher	another
sendingg	sending
discribes	describes
weell	well
showw	show
niggerish	nigger
vibrational	vibration
touchdooown	touchdown
showcas	showcases
barrr	bar
rabbitmq	rabbit
lobve	love
normanby	norman
bitchies	bitches
weels	wheels
spoilerish	spoiler
lail7een	aileen
pchristina	christina
bearfoot	barefoot
targe	target
reengineering	engineering
finalsss	finals
shoutouut	shout
cookinn	cooking
shockk	shock
shockd	shocked
buuurn	burn
amazzing	amazing
tlked	talked
dicovered	discovered
catalouge	catalog
slike	like
joels	joel
victoryyy	victory
iswear	swear
camrea	camera
batere	battery
bussyy	busy
spizike	spike
sayyinn	saying
wasington	washington
dayumm	damn
chiny	chin
backtoback	backpack
naww	no
nawt	not
headng	heading
sexua	sexual
shandling	handling
motorolla	motorola
chinn	chin
batery	battery
readdd	read
spotte	spotted
novaas	nova
spottt	spot
b'tween	between
kidn	kidding
readdy	ready
millimetres	millimeters
nellys	nelly
lasttt	last
justin'm	justin
eclipes	eclipse
stero	stereo
catchs	catches
musiq	music
sk8ter	skater
dnt	didn't
bullsss	bulls
catche	catch
escorpion	scorpions
catchh	catch
grahams	grams
catchn	catching
copss	cops
somehting	something
b/w	between
excl	excel
buffallo	buffalo
populari	popularity
listenin	listening
listenig	listening
ibelieve	believe
bovered	bothered
oftn	often
homeworkkk	homework
qranny	granny
ofte	often
misundastood	misunderstood
wana	wanna
rythmn	rhythm
petcentric	eccentric
xserves	servers
xtra	extra
wann	wanna
ungraceful	ungrateful
mariama	maria
embarressing	embarrassing
wans	wants
biggets	biggest
rythms	rhythms
mcmuffin	muffin
stright	straight
damarcus	marcus
stayingg	staying
shameee	shame
exelent	excellent
keviin	kevin
becaause	because
brassard	bastard
bombbb	bomb
miin	min
waitinggg	waiting
wholewheat	wheat
revolucion	revolution
kingdome	kingdom
souce	source
unforgattable	unforgettable
miix	mix
stollen	stolen
marriaqe	marriage
miis	miss
waiittt	wait
fckers	fuckers
1milion	million
supposely	supposedly
flattred	flattened
truned	turned
finalis	final
everythngs	everything
comentem	comment
comenten	comment
bicthh	bitch
welcomee	welcome
puling	pulling
assina	asia
welcomez	welcome
brotherrt	brother
apoligized	apologized
5seconds	seconds
brotherrr	brother
realyy	really
fiv	five
classrom	classroom
labratory	laboratory
againrt	again
pleeasee	please
cndy	candy
shooould	should
nictionary	dictionary
bulding	building
realyl	really
walet	wallet
gtting	getting
counsin	cousin
foolio	fool
tresspassing	trespassing
paaants	pants
collge	college
ledgendary	legendary
sove	solve
offficially	officially
2avoid	avoid
stearing	staring
fi9	fine
foregin	foreign
klinger	lingerie
trippled	tripled
cryinng	crying
childen	children
cused	cursed
buttercupz	buttercup
2day	today
distric	district
cincinnatti	cincinnati
3years	years
bewt	boot
remidial	remedial
nastyy	nasty
cinem	cinema
nastys	nasty
enviroment	environment
noice	nice
nextera	extra
tennessean	tennessee
cementery	cemetery
detangling	dangling
djdesign	design
pumpking	pumpkin
correcto	correct
correctl	correctly
claaass	class
pumpkinn	pumpkin
magickal	magical
mattter	matter
caremel	caramel
t'would	would
tremblin	trembling
selff	self
farward	forward
piercinggg	piercing
bannanas	bananas
wunderful	wonderful
liies	lies
loook	look
amaazinggg	amazing
reintroduced	introduced
cherrry	cherry
femalesss	females
flamboyan	flamboyant
brezze	breeze
mermo	memo
looop	loop
compromisso	compromise
reintroduces	introduces
looot	lot
lknow	know
olds	old
oldr	older
biznitch	bitch
sweeeet	sweet
goldberger	goldberg
mcclement	inclement
olde	old
oldd	old
sisis	sis
understan	understand
needem	need
hiya	hello
understad	understand
mafucker	fucker
sheee	she
frankenstien	frankenstein
worriess	worries
slingin	singing
finalement	inclement
llegal	legal
loaddd	load
ffor	for
succces	success
shampooo	shampoo
feelinq	feeling
feelins	feelings
feelinn	feeling
pples	peoples
feelinf	feeling
deleteee	delete
longr	longer
plagarism	plagiarism
boootay	booty
hetrosexual	heterosexual
macine	machine
deamon	demon
distantl26	distantly
longg	long
longe	longer
foundational	foundation
credentialed	credentials
olvides	olives
incisionless	incisions
moralizers	moralize
disappered	disappeared
affaire	affair
nthat	that
memebers	members
witnes	witness
7o'clock	o'clock
prollem	problem
soemone	someone
headss	heads
ignant	ignorant
funemployment	unemployment
aaannd	and
majo	major
thaan	than
rweally	really
dorama	drama
4more	more
juiice	juice
ollow	follow
arrreee	are
awseome	awesome
un4rtun8ly	unfortunately
singel	single
majr	major
franklyn	frankly
sayinn	saying
amymore	anymore
bittchhh	bitch
abouutt	about
descriptionif	description
downloand	download
u'll	you'll
pitful	pitiful
bullshitten	bullshit
shoppping	shopping
accually	actually
bullshitter	bullshit
houuse	house
noticeddd	noticed
24months	months
practiice	practice
neighb	neighbor
mmake	make
ardest	hardest
iate	ate
treeeat	treat
populair	popular
toungue	tongue
slidin	sliding
givess	gives
onight	tonight
cookinq	cooking
approch	approach
ouuuttt	out
alexxx	alex
messsy	messy
torando	tornado
iowaindependent	independence
potrait	portrait
sayying	saying
homeles	homeless
nayme	name
etip	tip
anniversa	anniversary
smeels	smells
jashley	ashley
erybdy	everybody
insomina	insomnia
confunde	confused
smeell	smell
drovee	drove
lota	lot
awway	away
listeninggg	listening
natura	natural
ind0nesia	indonesia
